campaign	episode	summary
1	20	Like their companions before them, Keyleth, Vax'ildan, and Tiberius begin their contract for the Slayer's Take along with a driven and mysterious young cleric named Kashaw and a hardened dwarf by the name of Thorbir. The group's mission—to track down and kill an elusive rakshasa that has been preying on wealthy travelers within the city—leads to the Velvet Cabaret, an exotic establishment in the Duskmeadow District...
1	21	Keyleth, Vax'ildan, and Tiberius, joined by Kashaw and Thorbir from the Slayer's Take, make their way down into the tunnels beneath the Velvet Cabaret, pursuing their mercurial prey. The path is far from easy, but after surmounting a handful of harrowing obstacles, Thorbir leads the hunting party into the hidden lair of the elusive rakshasa...
1	22	With their trials behind them, the members of Vox Machina reunite within the walls of the Slayer's Take. Newly marked and happily reunited, the group decides to set out for Pyrah to find the Fire Ashari, escorting Keyleth on the next leg of her Aramenté.
1	23	As Vox Machina prepares for the return to Emon, Grog demands a rematch against Kern to regain his honor. After some final errands, the party returns home to Greyskull Keep and a fan outside their home, but there's no time to rest with bad news on the horizon...
1	24	With the Briarwoods coming to Emon, Percy reveals the full tale of how they slaughtered his family and seized control of Whitestone. Vox Machina has just one week to prepare for a diplomatic feast between the Tal'Dorei Council and the sinister and mysterious Lord and Lady Briarwood...
1	25	Vax finds himself alone in the clutches of the villainous Briarwoods! While the team rushes in to save him, they are joined by a mysterious tiefling named Lillith, a powerful wizard on the run from bounty hunters. Can Vox Machina save both Vax and Lillith from their grim fates?
1	26	Reeling from the aftermath of their battle against the Briarwoods, Vox Machina is called before Sovereign Uriel Tal'Dorei II to answer for their recent destructive behavior. Seeking to bolster their reputation, the group agrees to hunt a mysterious giant bird terrorizing the countryside, with some rather interesting results...
1	27	Ghostly attackers infiltrate Greyskull Keep as Vox Machina prepares to journey northeast to Whitestone and confront the Briarwoods. Meanwhile, Keyleth begins to suspect that a mysterious power holds sway over Percy.
1	28	Vox Machina sneaks into the town of Whitestone with the intent of inspiring revolution, but they could not be less prepared for the horrors that await them inside...
1	29	Vox Machina begins a campaign to sow the seeds of rebellion amongst the people of Whitestone. The cruel Sir Kerrion Stonefell is the first target on their list, but will the attack against him unleash a darker power?
1	30	The seeds of rebellion begin to take root in Whitestone! But as the members of Vox Machina make their move to bring the population to revolt, they learn that another de Rolo may still be alive...
1	31	Scanlan finds himself alone, caught in a Briarwood trap! Meanwhile, the party fuels the fire of rebellion, but will Whitestone pay too high a price? The revolution has begun, and nothing can stop it now!
1	32	Exhausted and facing an undead army, Vox Machina prepares to storm Whitestone Castle! Thankfully, they're about to get some help from divine intervention...
1	33	Vox Machina enters Whitestone Castle, led by a new, unlikely ally in hopes of rescuing Cassandra de Rolo. Battles commence, debts are settled, and secrets are revealed as the group descends into the haunted catacombs.
1	34	Descending deeper beneath the city of Whitestone, the weary members of Vox Machina are on a collision course with the Briarwoods and their insidious plot. What secrets lie far below and what dangers still await our heroes?
1	35	In the wake of the fateful battle in the Ziggurat, Vox Machina comes face-to-face with the inner demons within Percy both literal and personal. As the Whitestone Rebellion comes to a head, can the party save Percy from the darkness within him? Or is he beyond saving?
1	36	The Winter's Crest Festival comes to Whitestone for the first time in five years! Seeing this as a chance to relax after the revolution, Vox Machina partakes in the festivities and exchanges gifts with each other as they enjoy a well-deserved moment of peace.
1	37	Vox Machina returns to Emon to prove their innocence. Now on the hunt for the treacherous Riskel Daxio, they must once again face the Clasp, along with some shady characters from Scanlan's past.
1	38	Vox Machina takes some well-earned downtime! Scanlan continues his dance with the mysterious gnome girl, Kaylie, and the group agrees to venture back to a mysterious cavern they had abandoned years before...
1	39	Vox Machina returns to General Krieg's home, learning about J'mon Sa Ord, ruler of Ank'Harel on the desert continent of Marquet. The group discovers a mysterious skull, and Vax questions the priorities of the group. Meanwhile, the city of Emon experiences a substantial political shift.
1	40	Vox Machina must deal with the Chroma Conclave's attack on Emon and the possible slaughter of much of the city's leadership and notable citizenry.
1	41	Vox Machina searches the ruins of Emon for survivors of the Chroma Conclave's attack. With the help of a new friend, they find an old one on death's door.
1	42	Vox Machina, having rescued Gilmore and the surviving members of the Tal'Dorei royal family, must decide how to handle the Chroma Conclave's attacks across Exandria—and whether to make a devil's bargain with the Clasp.
1	43	Now in the relative safety of Vasselheim, Vox Machina begins planning their first move against the Chroma Conclave. Fortunately, some old friends turn up to offer their aid.
1	44	In hopes of defeating the Chroma Conclave, Vox Machina sets out to recover the Vestiges of the Divergence—ancient armor, weapons, and other items of immense power. They learn the location of one Vestige, the Deathwalker's Ward, interred with an ancient Champion of the Raven Queen... at the bottom of a lake.
1	45	An exhausted Vox Machina spends some time hashing out their pent-up frustrations and examining their spoils of victory. They then journey to Pyrah, home of the Fire Ashari, hoping to find survivors of Thordak's escape from the Elemental Plane of Fire.
1	46	With fire elementals emerging from the Elemental Plane of Fire, Vox Machina joins forces with the druids of Pyrah and Zephrah—and a strange scavenger—to seal the rift between planes.
1	47	Vox Machina returns to where much of the group's history began: Westruun. But all is not well! Not only has the Chroma Conclave decimated the area, but another strangely familiar threat has taken hold of the city, as well...
1	48	Vox Machina continues the quest to collect the Vestiges of the Divergence in order to defeat the Chroma Conclave. Along the way, they are rejoined by Pike and discover some other old friends in dire straits.
1	49	Vox Machina ventures deep beneath the Stormcrest Mountains to confront the mysterious androsphinx mate of Osysa—and hopefully learn more about the Vestiges of the Divergence.
1	50	Vox Machina confronts the darkness of Craven Edge and plans to retake Westruun. Scanlan infiltrates the city to set up a distraction and stumbles upon some old friends.
1	51	Scanlan tries to plan a safe escape for his daughter Kaylie, while Grog makes his way to the center of Westruun for the final confrontation with his uncle Kevdak.
1	52	Unable to defeat Kevdak in single combat, Grog calls upon Vox Machina in a desperate fight for their lives, the fate of Westruun, and control of the Herd of Storms.
1	53	Vox Machina must decide: leave Westruun to fight another day, or prepare to face the deadly black dragon Umbrasyl?
1	54	With battle plans in place, Grog frees some Westruun citizens while Vox Machina busily prepares to engage Umbrasyl with the cunning of their tactics and the strength of the Herd of Storms. The hour arrives, Umbrasyl descends, and the battle begins...
1	55	The battle with Umbrasyl went according to plan—until it didn't. After most of the Herd of Storms dissolved in acid, and with Scanlan and Vax'ildan trapped inside the dragon with Grog trailing through the air on a chain, Vox Machina's chance for victory is about to fly away...
1	56	As the citizens of Westruun learn of Umbrasyl's demise, they must decide whether to flee possible retaliation from the Chroma Conclave or reclaim their city. With the burden of so many lives and so much destruction, the members of Vox Machina struggle with their own responsibilities and destinies. Perhaps a humble paladin can restore the hope of both frightened citizens and powerful heroes...
1	57	With Umbrasyl defeated, the Herd of Storms beginning a new chapter as part of the Rivermaw Tribe, and the city of Westruun restored to its people, Vox Machina journeys to Vasselheim as Vax'ildan confronts the heavy price of a bargain for his sister's life. After a short stay in Vasselheim, the party travels to Whitestone to meet old friends... and an old enemy?
1	58	Beset by an old foe disguised as a beloved ally, Vax fights for his life while the other members of Vox Machina fend off some assassin hirelings standing between them and their friend.
1	59	In search of one of the Vestiges of the Divergence, Vox Machina enters the Feywild—a magical but dangerous twilight reflection of the Material Plane. After finding a nymph from their past and a mischievous satyr, the party finds its way to a familiar place: the home of Vax and Vex's father, the elven city of Syngorn.
1	60	Forced by circumstance to enter Syngorn, the party reluctantly seeks audience with Vax'ildan and Vex'ahlia's estranged father, Syldor Vessar, and his new family. After a tense reunion, Vox Machina acquires diplomatic papers to pursue their agenda in the elven city—and complete some unscrupulous tasks for their satyr guide.
1	61	The satyr guide, Garmelie, leads Vox Machina toward the cancerous tree that houses one of the Vestiges of the Divergence. The journey through the Feywild presents several challenges, but the biggest and scariest threats aren't always the most dangerous in this strange realm...
1	62	Still travelling through the Feywild, Vox Machina and Garmelie finally arrive at the Gilded Run, a series of rivers that separate them from the Shademurk Bog. Nature itself bars passage, and even if they contend with the magical rivers, who knows what lurks below?
1	63	The members of Vox Machina prepare for their final approach to the cancerous tree in the Feywild, including a discussion between Keyleth and, seemingly, the bog itself. The tree opens to them, and Vex'ahlia is offered a disturbing choice...
1	64	Back in Whitestone to debate their next move, Vox Machina discovers their return from the Feywild may not have been as clean cut as it seemed. Their attention turns to Draconia where the destruction wrought by the Conclave again leaves the party to search for allies amongst the scattered survivors while coming face to face with the cost to defeat them.
1	65	Vox Machina travels to Marquet in search of Cabal's Ruin, the next Vestige on their list. They explore the city of Ank'Harel, get involved in some questionable activities, and eventually find themselves standing before the mysterious ruler of the city...
1	66	After proving their strength to J'mon Sa Ord, Vox Machina heads to a casino to have some fun and make some deals. The next day, they go in search of Mistress Asharru—the owner of Cabal's Ruin—and discover a shocking scene, as well as evidence that an old foe is on the move.
1	67	Anna Ripley has stolen one of the Vestiges of the Divergence and is on her way to an island of glass in search of another. With the help of Captain Damon and his skyship, Vox Machina races across the sea to stop her once and for all.
1	68	Hot on the heels of Dr. Anna Ripley, Vox Machina finds themselves on the beach of the isle of glass. The party prepares as their confrontation with Ripley draws near. Old demons and new discoveries will surface on the isle of Glintshore.
1	69	Vox Machina is left shaken in the aftermath of their battle with Anna Ripley. They hurry back to Whitestone to save one of their own and end up being offered an alliance from the most unlikely source...
1	70	After a tense discussion, Vox Machina finds themselves with an unlikely—and untrustworthy—ally. A risky plan is formed and the group heads to the ruins of Draconia to prepare for their battle with Vorugal the white dragon...
1	71	Vox Machina enacts their riskiest plan yet: summon a goristro from the Abyss to fight Vorugal and hope for the two giant creatures to kill each other. If they succeed, another member of the Chroma Conclave will fall and another Vestige will be retrieved. But if any step in their plan fails, it could have dire consequences, especially with another dragon waiting in the wings...
1	72	Fresh off of slaying Yenk and Vorugal the Frigid Doom, the weary members of Vox Machina take time to catch their breaths and set about gathering what spoils they could find from both the corpse of the wyrm and his treasure trove before resting and returning to Whitestone for their next course of action...
1	73	With three of the five members of the Chroma Conclave dead, Vox Machina has a meeting with their friends in Whitestone to begin planning for the upcoming battle with Thordak. Percy decides it's time for one of their allies to stop keeping secrets from the rest.
1	74	Vox Machina heads to Fort Daxio to begin preparation for the upcoming fight with Thordak. With time running out until the climactic battle, the party decides to travel to the Elemental Plane of Fire in search of the final Vestige, but find themselves in over their heads...
1	75	Guided by their bizarre new acquaintance, Vox Machina meets with the fire giant who is in possession of the Plate of the Dawnmartyr. Although their goal is literally in sight, retrieving the final Vestige might be one of their most perilous challenges yet.
1	76	Vox Machina finds themselves face to face with Ghurrix the pit fiend, leading to an all-out battle in the middle of the City of Brass.
1	77	Vox Machina returns from the Elemental Plane of Fire, only to discover Fort Daxio under siege. With no word from Allura, they rush into battle to save as many of their allies as they can.
1	78	Having gathered their allies, Vox Machina heads for the center of Emon to begin the final battle against Thordak the Cinder King.
1	79	Having infiltrated the center of Emon, Vox Machina and their allies engage Thordak in a battle to the death.
1	80	Vox Machina battles Raishan within Thordak's lair.
1	81	After reuniting with an old friend, Vox Machina loots Thordak's treasure hoard before returning to Whitestone to decide what to do about Raishan.
1	82	Vox Machina and their allies travel to the island that Raishan fled to, but to reach her they must find their way past numerous obstacles and undead threats.
1	83	Raishan and Vox Machina have their final confrontation.
1	84	In a rare moment of peace, Vox Machina checks on Emon, fulfills a promise, and meets up with an old acquaintance.
1	85	Grog has a one-on-one rematch with Earthbreaker Groon. Vox Machina says farewell to a dear friend, but they meet someone new the very next day.
1	86	Vox Machina takes some time to bond with their new companion before setting sail for their next adventure.
1	87	Vox Machina sets sail across the Ozmit Sea to the home of the Water Ashari, dealing with scurvy trouble along the way, where upon arrival Keyleth will endeavor to complete her Aramenté... and discover a horrible truth.
1	88	Vox Machina journeys into the Elemental Plane of Water for the final trial of Keyleth's Aramenté.
1	89	Having procured the lodestones, Vox Machina returns to Vesrah with Vax'ildan's life on the line as they hurry to save their fallen companion. Bargains and promises are made, cards are drawn, and new power is unlocked as Keyleth's Aramenté trials come to an end.
1	90	Vox Machina searches for a means to seal away Opash's book and travels to Zephrah where Keyleth goes to embrace her destiny...
1	91	Vox Machina descend into the Nine Hells and enter the City of Dis to find and destroy Hotis once and for all.
1	92	After Keyleth scares off her would-be attackers, Vox Machina continues their trek through the City of Dis, and Percy makes a deal with the devil Ipkesh to assassinate Utugash. Their mission takes them to the pit fiend's abode, where they also encounter and rescue a new ally in Tova. Will they fulfill the deal, or will Percy's soul be forfeit?
1	93	Vox Machina commences their assassination of Utugash with the aid of Tova and get brought to the prison of Mentiri. But will their deal be honored? And will Vox Machina finish off Hotis and escape the Nine Hells? Or will they be lost forever?
1	94	Vox Machina, having barely survived their escape from the Nine Hells, returns to Whitestone for some much-needed rest and respite as Vex'ahlia partakes in the Grey Hunt to truly earn her noble title and place in the city.
1	95	After a year spent enjoying some downtime and accomplishing some personal goals, Vox Machina reunites for a beach vacation and an unexpected family reunion for a certain someone...
1	96	Vox Machina mobilizes to assist the Trickfoots in purging Pike of the blood curse. However, some things are not as they seem...
1	97	Having dealt with the Trickfoot clan, Keyleth goes off the deep end and Taryon finds himself on a collision course with a dark secret within his own family. What will he and Vox Machina discover at Deastok?
1	98	Vox Machina inquires with the Myriad in order to alleviate the Darringtons of their debt. But is the light at the end of the tunnel a sign of hope... or imminent death?
1	99	As Vox Machina returns to Deastok to clear the Darrington family of their debt, Taryon has a talk with his family about the future. The party then returns to Whitestone where two strange individuals make themselves known, one of them possibly being more than he seems...
1	100	Vox Machina, along with Lionel Gayheart and Scanlan Shorthalt, travel into the mountain range of Marquet to investigate the existence of another Ziggurat. As Scanlan tries to make amends for his actions, what lies beneath will lead to a shocking reveal that will set the stage for something greater...
1	101	Vox Machina journey through the Ziggurat into the Shadowfell, hot on the trail of Delilah Briarwood.
1	102	All hell breaks loose as Vox Machina race to stop the return of Vecna!
1	103	Vox Machina regroup after their devastating defeat at the hands of Vecna, all while Vax’s soul is tested by the Matron of Ravens.
1	104	Vox Machina journey to Elysium, where they must prove their worth in the eyes of the gods.
1	105	Vox Machina travel to the pools of Wittebak, where they meet a lonely stranger residing in a strange old house.
1	106	Vox Machina race against time to earn the blessing of the Goddess of Knowledge while Vecna continues to gain power.
1	107	Vox Machina descend into the heart of an undersea volcano to find the forge of the gods.
1	108	Upon finding the Core Anvil and the forge guardian that protects it, Vox Machina attempt to create the divine trammels that will aid in their fight against Vecna.
1	109	Live from Gen Con: Vox Machina returns to Vasselheim to prepare for the coming of Vecna.
1	110	Vox Machina find treasures, horrors, and mysteries as they make their way through the body of an undead primordial.
1	111	Vox Machina make their way through the cursed caverns of the undead dwarven city of Thomara, hoping their presence won't be discovered.
1	112	Vox Machina search for a powerful artifact that could help swing the tide in their favor. Nothing could possibly go wrong…
1	113	Vox Machina, having made their final preparations, make their way to the top of the tower of Entropis. With special guest Joe Manganiello!
1	114	Vox Machina battles Vecna.
1	115	On the final episode of our campaign, victory is celebrated, and all debts are paid.
2	1	Seven people, all with different backgrounds, meet by chance in a tavern in Trostenwald. Though not entirely sure of each other, they all decide to go to a local carnival together. But, what was meant to be a brief diversion soon turns into a fight for their very lives...
2	2	After killing the zombies, the new party find themselves under orders not to leave town and partial house arrest. The group decides to attempt their own investigation, but struggles to find any clues. They then return to the scene of the initial attack, to disastrous results.
2	3	The party faces off against two zombified guards and try to find Kylre. They discover Kylre has fled into the Ustaloch and track him to a small island where they must confront the fiend and Toya.
2	4	The party presents evidence of the devil toad’s corruption at a midnight trial, and Beau confronts an envoy from her past.
2	5	The group hits the road, preparing for a long trip to Zadash. But trouble in the small town of Alfield stops the band of adventurers in their tracks.
2	6	The group questions the Crownsguard for clarity about last night’s attacks, and their hunt for the gnolls leads them to a descent down a mysterious mine.
2	7	The group plunges deeper into the gnoll mines, coming across an unexpected ally, and wandering into a nest of dangers.
2	8	In claiming a reward for defeating the gnolls, the group names themselves the Mighty Nein before leaving Alfield for the bustling city of Zadash. What dangers lurk along the Amber Road, and what discoveries await them to the north?
2	9	The Mighty Nein explore Zadash, looking for new jobs, finding old allies, and stumbling upon intriguing mysteries.
2	10	The Mighty Nein delve into the sewers of Zadash in search of the mysterious beast that has been terrorizing the Crownsguard.
2	11	The Mighty Nein finally make it into the Tri-Spire, exploring the upper echelon of Zadash and investigating the Knights of Requital’s claims of corruption within the government.
2	12	Hijinks ensue as the Mighty Nein attempt subterfuge in order to carry out the mission of the Knights of Requital.
2	13	The Mighty Nein deal with the fallout from the night’s events, working to repair the fraying edges of the Knights of Requital and learning how to trust their own team.
2	14	The Mighty Nein strike a deal with The Gentleman. Mollymauk's worst nightmare comes to fruition when he is forced to confront and explain his own past.
2	15	Heading down an underground river, the Mighty Nein explore a long abandoned research facility, uncovering dangerous foes and even more dangerous secrets.
2	16	The Mighty Nein deal with the ramifications of their actions in the research facility, exploring more of the dark caverns beneath Zadash and experimenting with dangerous unknowns.
2	17	The Mighty Nein attend the Harvest Close Festival, taking part in sweets and games of skill, and entering the challenging Victory Pit.
2	18	The end of the Harvest Close Festival brings a victory overshadowed by the bigger problems of the Empire.
2	19	The Mighty Nein find themselves facing multiple choices as to their next actions and alliance.
2	20	As The Mighty Nein get closer to Berleben, trouble awaits them on the road and in the swamp.
2	21	A new ally joins the Mighty Nein as they head deep into the Labenda Swamp to investigate The Gentleman's mysterious safe house.
2	22	The Mighty Nein delve into the waters below the safehouse in an attempt to finish their first task for The Gentleman...
2	23	After finishing up some loose ends in the Labenda Swamp, the Mighty Nein head to the town of Hupperdook...
2	24	Several members of the Mighty Nein find their pockets picked the morning following a drinking competition.
2	25	The Mighty Nein face a killer Clockwork Warden in the Gearhole Prison.
2	26	The Mighty Nein wake up to missing members, meet a stranger who could possibly help them, and find that some plans... have a high cost (with guest Ashly Burch).
2	27	Still reeling from the cost of their first fight against the Iron Shepherds, the Mighty Nein gain another ally and enter Shadycreek Run, where they begin to plot their revenge against their formidable foe...(with guests Ashly Burch and Sumalee Montano!).
2	28	The Mighty Nein set out to find some help to take down the Iron Shepherds, and enter the Sour Nest to engage with their enemies...(with guests Ashly Burch and Sumalee Montano!).
2	29	Live from GenCon in Indianapolis! The Mighty Nein descend deeper into the Sour Nest to rescue their friends, and find help in an unexpected corner… (with guests Ashly Burch and Khary Payton!).
2	30	Reunited at last, the Mighty Nein journey back to Zadash, hoping to find closure with those they've lost and the contracts they've made...
2	31	The Mighty Nein take two weeks of downtime in Zadash, shopping and researching, before embarking on their next adventure...
2	32	The Mighty Nein return to several old stomping grounds as they journey south to Nicodranas and the Menagerie Coast...
2	33	Beach episode! The Mighty Nein explore Nicodranas and Jester reunites with her mother, the famed Ruby of the Sea...
2	34	The Mighty Nein investigate the watery underbelly of Nicodranas, and find more danger than they bargained for...
2	35	The Mighty Nein find success in their task for the Ruby, but chaos ensues as they continue their search for Marius LePual...
2	36	The Mighty Nein hire a crew and set out on a naval adventure, but danger lurks on the open seas...
2	37	Live from New York! The Mighty Nein are taken aboard the Squalleater, and Fjord learns more about his mysterious patron...
2	38	Delving into the jungle island of Urukayxl, the Mighty Nein must utilize new tactics in order to contend with the dangerous denizens of the jungle...
2	39	The Mighty Nein discover what creatures lie in wait in the inner depths of the temple...
2	40	The Mighty Nein undergo a dangerous watery escape from the temple, and go to great lengths to maintain their alliance with Captain Avantika...
2	41	The Mighty Nein head for the lawless island of Darktow, engaging in an act of piracy along the way...
2	42	The Mighty Nein explore the pirate island of Darktow, and attempt to undermine Avantika...
2	43	The Mighty Nein face a showdown with Avantika and her crew in Darktow, and the possible wrath of the Plank King for breaking pirate law...
2	44	The Mighty Nein investigate Fjord’s shipwreck, and their underwater adventure takes a spooky turn as they head deeper into the Diver’s Grave...
2	45	The Mighty Nein find a stowaway on the Squalleater, who carries a mysterious item that holds dangerous consequences for the curious...
2	46	The Mighty Nein dock in Bisaft before setting sail through a dangerous storm to find the next temple of Uk’otoa…
2	47	The Mighty Nein dive back underwater to find the second temple of Uk’otoa in search of Fjord’s reward…
3	1	Disparate souls collide in the mountain spires of Jrusar when three different groups of adventurers meet during a battle against an unusual array of enemies...
